,time,VNINDEX,MA50,z_score,sign,cross,asset_allocation,return,return_shifted
219,2023-05-22,1070.64,1055.128,0.042602268407981626,1,False,46051988589.363335,-0.016043693114311197,0.025894927231518317
220,2023-05-23,1065.85,1055.326,-0.03619072599575349,1,False,47244501482.75161,0.025894927231518317,0.02143486801954886
221,2023-05-24,1061.79,1055.5018,-0.10310158519689952,1,False,48257181136.68377,0.02143486801954886,-0.012897798545840278
222,2023-05-25,1064.63,1055.7384,-0.06197694974567909,1,False,47634769735.9927,-0.012897798545840278,0.006738437601948588
223,2023-05-26,1063.76,1056.211,-0.08318534475098432,1,False,47955753659.54187,0.006738437601948588,-0.054660407722112
224,2023-05-29,1074.98,1056.4668000000001,0.09001075573846531,1,False,45334472611.890144,-0.054660407722112,-0.012957261603790182
225,2023-05-30,1078.05,1057.0798,0.1288227820516118,1,False,44747061990.58802,-0.012957261603790182,0.018596286512964744
226,2023-05-31,1075.17,1057.6804000000002,0.07384144758456442,1,False,45579191175.978386,0.018596286512964744,-0.011089605396362057
227,2023-06-01,1078.39,1058.7862,0.10723843009626927,1,False,45073735931.55144,-0.011089605396362057,-0.05983998540306901
228,2023-06-02,1090.84,1059.9544,0.28545150232240973,1,False,42376524231.34561,-0.05983998540306901,-0.0329160343242082
229,2023-06-05,1097.82,1061.1,0.3776146632183882,1,False,40981657105.206,-0.0329160343242082,-0.05382092516127224
230,2023-06-06,1108.31,1062.3642000000002,0.5233501098442733,1,False,38775986405.16179,-0.05382092516127224,0.00015413944563991144
231,2023-06-07,1109.54,1063.6192,0.5229551970816265,1,False,38781963314.21042,0.00015413944563991144,0.05672320452138391
232,2023-06-08,1101.32,1064.6006,0.3776051853120834,1,False,40981800551.023186,0.05672320452138391,-0.03001565770529413
233,2023-06-09,1107.53,1065.6654,0.45888139116734994,1,False,39751704853.53704,-0.03001565770529413,-0.04388111046959342
234,2023-06-12,1116.02,1066.8591999999999,0.574135891120942,1,False,38007355901.50431,-0.04388111046959342,-0.03258105950717005
235,2023-06-13,1122.46,1068.1196,0.6559554969376137,1,False,36769035977.167206,-0.03258105950717005,0.03963426924722424
236,2023-06-14,1117.42,1069.1752,0.5596662874974832,1,False,38226349849.04713,0.03963426924722424,0.007528841378982465
237,2023-06-15,1116.97,1069.9289999999999,0.540650448150408,1,False,38514149973.55809,0.007528841378982465,0.015428106043866352
