time,VNINDEX,sign,cross,asset_allocation
2020-12-23,1078.9,1,False,0.25468393204270356
2020-12-24,1067.52,1,False,0.28473317093623207
2020-12-25,1084.42,1,False,0.254245598472589
2020-12-28,1091.33,1,False,0.24567557078654045
2020-12-29,1099.49,1,False,0.23472026348525377
2020-12-30,1097.54,1,False,0.24580897665570534
2020-12-31,1103.87,1,False,0.2387692182416069
2021-01-04,1120.47,1,False,0.20971489259961262
2021-01-05,1132.55,1,False,0.19142572758174992
2021-01-06,1143.21,1,False,0.17686109850204212
2021-01-07,1156.49,1,False,0.1582986247067668
2021-01-08,1167.69,1,False,0.14481120470697428
2021-01-11,1184.89,1,False,0.11879792649163268
2021-01-12,1192.28,1,False,0.11399444892980781
2021-01-13,1186.05,1,False,0.13834275259621698
2021-01-14,1187.4,1,False,0.14614526339862655
2021-01-15,1194.2,1,False,0.1425264126295508
2021-01-18,1191.94,1,False,0.15840734182741723
2021-01-19,1131.0,1,False,0.2981374288357652
2021-01-20,1134.68,1,False,0.2980845862512258
2021-01-21,1164.21,1,False,0.24331411364793976
2021-01-22,1166.78,1,False,0.24673588756484044
2021-01-25,1166.05,1,False,0.2569691572560666
2021-01-26,1136.12,1,False,0.32981525885936236
2021-01-27,1097.17,1,False,0.41972431763764184
2021-01-28,1023.94,-1,True,0.5805004799146205
2021-01-29,1056.61,-1,False,0.5129247764152289
2021-02-01,1035.51,-1,False,0.5605918196214051
2021-02-02,1075.53,-1,False,0.4774444459844833
2021-02-03,1111.29,1,True,0.40500375961994917
2021-02-04,1112.19,1,False,0.407916598808703
2021-02-05,1126.91,1,False,0.3812761397539093
2021-02-08,1083.18,-1,True,0.4791414725928903
2021-02-09,1114.93,1,True,0.41522576777676523
2021-02-17,1155.78,1,False,0.3331209523446512
2021-02-18,1174.38,1,False,0.299772083868978
2021-02-19,1173.5,1,False,0.30833518138000604
2021-02-22,1175.04,1,False,0.31165083699188845
2021-02-23,1177.64,1,False,0.3124157550598937
2021-02-24,1162.01,1,False,0.3520152082690847
2021-02-25,1165.43,1,False,0.3500790906224336
2021-02-26,1168.47,1,False,0.3494536423267368
2021-03-01,1186.17,1,False,0.31719411073726633
2021-03-02,1186.61,1,False,0.32154799319456817
2021-03-03,1186.95,1,False,0.32651519614127844
2021-03-04,1168.52,1,False,0.3708263020932596
2021-03-05,1168.69,1,False,0.3755223619422512
2021-03-08,1168.27,1,False,0.3807983908133601
2021-03-09,1161.97,1,False,0.3979458094964188
2021-03-10,1170.08,1,False,0.3841344038143686
2021-03-11,1181.73,1,False,0.3633581722356396
2021-03-12,1181.56,1,False,0.36866582003028525
2021-03-15,1184.56,1,False,0.36650620423918834
2021-03-16,1179.9,1,False,0.38043455662472725
2021-03-17,1186.09,1,False,0.3707799565478027
2021-03-18,1200.94,1,False,0.34309823869601797
2021-03-19,1194.05,1,False,0.36192579168586936
2021-03-22,1194.43,1,False,0.36430630680577847
2021-03-23,1183.45,1,False,0.3902901317772782
2021-03-24,1161.81,1,False,0.43796107320690403
2021-03-25,1163.1,1,False,0.4354536492569123
2021-03-26,1162.21,1,False,0.43714374569029746
2021-03-29,1175.68,1,False,0.4075731220091965
2021-03-30,1186.36,1,False,0.384187246398908
2021-03-31,1191.44,1,False,0.3734190538232042
2021-04-01,1216.1,1,False,0.3212564927077236
2021-04-02,1224.45,1,False,0.3044833034758293
2021-04-05,1236.05,1,False,0.2812719816488968
2021-04-06,1239.96,1,False,0.27752362323410484
2021-04-07,1242.38,1,False,0.27694755243543623
2021-04-08,1234.89,1,False,0.2962298981610778
2021-04-09,1231.66,1,False,0.30603522954472206
2021-04-12,1252.45,1,False,0.264753043213106
2021-04-13,1248.33,1,False,0.278535861923193
2021-04-14,1255.87,1,False,0.26908050437813824
2021-04-15,1247.25,1,False,0.29742102199291054
2021-04-16,1238.71,1,False,0.3238033320281506
2021-04-19,1260.58,1,False,0.2861885076907619
2021-04-20,1268.28,1,False,0.2778614692664063
2021-04-22,1227.82,1,False,0.3705322027907817
2021-04-23,1248.53,1,False,0.3315863517133124
2021-04-26,1215.77,1,False,0.4063828644492421
2021-04-27,1219.75,1,False,0.403678796783013
2021-04-28,1229.55,1,False,0.3874197399105318
2021-04-29,1239.39,1,False,0.3697309013039124
2021-05-04,1242.2,1,False,0.366582869300364
2021-05-05,1256.43,1,False,0.33935724359218666
2021-05-06,1250.57,1,False,0.35531960234655735
2021-05-07,1241.81,1,False,0.3770703897876939
2021-05-10,1259.58,1,False,0.34281236897637857
2021-05-11,1256.04,1,False,0.3544035198358936
2021-05-12,1269.09,1,False,0.33049961364274283
2021-05-13,1261.99,1,False,0.34915997616019756
2021-05-14,1266.36,1,False,0.3431502150086805
2021-05-17,1258.7,1,False,0.3628470718277991
2021-05-18,1252.68,1,False,0.3795297356484737
2021-05-19,1262.49,1,False,0.3623472329543681
2021-05-20,1278.22,1,False,0.3330434210115977
