date,vn_retail_buy_vol,vn_retail_buy_value,vn_retail_sell_vol,vn_retail_sell_value,fr_retail_buy_vol,fr_retail_buy_value,fr_retail_sell_vol,fr_retail_sell_value,vn_institute_buy_vol,vn_institute_buy_value,vn_institute_sell_vol,vn_institute_sell_value,fr_institute_buy_vol,fr_institute_buy_value,fr_institute_sell_vol,fr_institute_sell_value
7/02/2025,387031640,8864839707,413728415,9626522450,16062503,514280833,9903342,290925402.2,467828371,11125638440,477160368,11249472391,66966841,2000319792,37097230,1338158529
7/01/2025,330042619,8049377467,326950291,7721625544,18349326,551526090.9,12929793,419730918.4,423557807,10894667558,416755401,10857139749,44057294,1538751800,59371561,2035826705
06/30/2025,268900239,6889132391,274717991,7019600096,13181184,397729150.7,9347889,246967879.4,356236258,9821220474,368572136,10282842849,55632801,1775572195,41312466,1334243387
06/27/2025,292670274,7551118601,277642991,6984141001,11714700,428386970,15069370,387215326.3,372513533,9390123828,383857193,9946465734,46341712,1626563306,46670665,1678370644
06/26/2025,318600854,7799582651,257646177,6494959109,7406419,248934200.9,14385852,397433715,388858113,9498784656,443127057,10532065085,50502412,1640868700,50208712,1763712299
06/25/2025,328756381,8171177000,340032082,8268691091,17237147,479232843.5,19950727,540978351,460736706,11592336835,449207886,11672090223,40565768,1399157465,38105307,1160144478
06/24/2025,378214092,9355963288,382717558,9787504345,14131815,408924452.3,25914805,719680593,505209308,13421768017,504542347,13219153916,75664803,2471233606,60045308,1931550509
06/23/2025,352591736,8609566992,367609892,9106906865,13201491,443917747.2,16016615,391048418.6,454269832,11523054483,423807224,10859600801,35797063,1212776365,48426391,1431759502
06/20/2025,353888870,9113430800,347898886,8440687003,11011992,347543851.6,14761078,410586427.8,397528361,9882217909,408242299,9982132653,92148629,2961284806,83675589,3471071283
06/19/2025,391203561,8749292395,385967734,8112524280,13647259,421492895.2,11818725,336858011.5,359175608,8770832258,349805340,8514205362,30105486,818433253.8,46540115,1796463149
06/18/2025,357296551,8269345243,353582815,8087923726,11488706,324229460,17049285,526707273.1,420692593,9981480548,431221290,9885645049,62406321,1752444801,50030781,1827224004
06/17/2025,357914398,8182537131,357179173,8419684130,16600500,381837297,17979150,474578383.2,422765757,10321029296,440650463,10642212998,68133361,2060952472,49605230,1409880685
06/16/2025,345073601,8276097584,325326400,7915285453,23322313,613297685.9,20166580,569830194.2,417331006,9853319042,461893923,11199436817,68285819,2353676693,46625836,1411838541
06/13/2025,478878465,10930862054,478522950,10478921172,19751550,577466844.8,24437464,540648816.9,648402919,13762941128,638717824,14309757760,66010122,1957925870,71364818,1899868148
6/12/2025,351290569,7889473978,350713710,7984397904,36756050,739514678,27938644,648255162.9,412231903,9443304806,435971663,9797060803,61954783,1743314186,47609288,1385893777
6/11/2025,243762221,5667792575,238181105,5584192877,18694000,419843195.4,16998871,333679738.8,303726210,7052996165,305881921,6977030199,48791580,1450261783,53912114,1695990903
6/10/2025,293945067,6584463217,324976488,7109705128,19400567,683602011.1,19990504,473233788.3,403429749,9385057160,395720347,9169422109,68232285,1794748401,44320329,1695509764
6/09/2025,299850377,6453738516,307792476,6796277428,13132172,408041797.4,17031964,494262469.6,437698249,9759265339,411599473,9070546211,42813034,1215900882,57069919,1475860425
