symbol,so_cp_luu_hanh,close
PIC,33339891.0,16.8
HKT,33335029.0,13.8
VHE,33139996.0,4.8
SKH,33000000.0,24.9
HBS,32999980.0,7.7
GMC,32950999.0,4.5
APF,32747339.0,41.5
DTP,32458084.0,106.8
TBD,32418392.0,139.0
DST,32219000.0,9.3
PTC,32191624.0,7.89
ICT,32185000.0,18.3
RCC,32064749.0,25.5
SEB,31999969.0,48.5
HDW,31882470.0,13.7
ITQ,31843305.0,2.9
M10,31750756.0,21.2
VNF,31700380.0,17.4
DWC,31520000.0,17.5
CDO,31504975.0,1.8
GKM,31434237.0,3.8
TCO,31320622.0,10.75
BNA,31249394.0,6.8
VTV,31199825.0,12.5
THG,31129907.0,53.5
CKD,31000000.0,24.5
L14,30859315.0,34.4
TYA,30680582.0,18.05
ICN,30599923.0,40.3
SCI,30491409.0,9.9
D2D,30259742.0,36.3
HUB,30242878.0,15.5
HRC,30206622.0,32.15
TCL,30158436.0,34.7
TDF,30000000.0,9.2
TRC,30000000.0,70.0
PVV,30000000.0,1.5
SZE,30000000.0,10.5
KSQ,30000000.0,2.0
DSG,30000000.0,4.2
SZB,30000000.0,37.5
PXI,30000000.0,1.2
HNF,30000000.0,35.2
TIX,30000000.0,43.0
SMB,29846648.0,39.7
CVN,29699991.0,1.3
FCS,29450000.0,7.9
TNB,29428877.0,9.3
NBT,29400000.0,18.5
GGG,29388589.0,4.8
VNZ,29376974.0,400.0
SVG,29350000.0,8.1
HAC,29176390.0,12.5
VLW,28900000.0,28.2
KHW,28599996.0,31.8
GSM,28562000.0,32.0
GTS,28499764.0,13.1
TTE,28490400.0,39.55
CCT,28480000.0,13.0
CHS,28400000.0,12.0
AGF,28109743.0,2.2
SRC,28063368.0,50.5
PAS,28049968.0,3.8
DVG,28000000.0,1.4
CTW,27998600.0,27.6
SVD,27605908.0,5.98
HDA,27599967.0,6.3
DQC,27558066.0,10.8
PIS,27500000.0,12.1
HVT,27470046.0,30.3
LAI,27359969.0,15.6
SZL,27344540.0,44.65
SBV,27323976.0,8.5
HMC,27299999.0,11.85
DCT,27223647.0,0.5
XDH,27026907.0,19.0
INN,27000000.0,48.0
SHG,27000000.0,2.3
TV1,26691319.0,24.0
AGP,26615268.0,41.0
VCF,26579135.0,280.0
VCX,26530000.0,10.0
ITS,26459924.0,5.0
CLC,26207583.0,51.9
SDA,26205990.0,3.0
ITD,26172807.0,13.1
NCT,26165732.0,105.0
VMC,26134132.0,6.8
LEC,26100000.0,4.3
DIC,26084560.0,1.0
SAV,26033470.0,15.5
SD5,25999848.0,9.8
DWS,25918130.0,15.0
VRG,25894868.0,18.1
ST8,25720902.0,6.4
LMH,25629995.0,1.1
VIN,25500000.0,17.1
CMS,25452500.0,8.3
KGM,25430000.0,5.8
HLC,25415199.0,11.1
PCH,25409893.0,21.5
MKP,25268221.0,28.0
PVE,25000000.0,2.6
CQT,25000000.0,9.2
VHL,25000000.0,10.9
PAT,25000000.0,94.1
BTH,25000000.0,63.2
BTV,24956600.0,13.0
HTI,24949200.0,23.35
PJT,24882785.0,9.0
BDG,24799920.0,39.0
FID,24715958.0,1.6
GDT,24670891.0,21.0
LCM,24632809.0,1.1
THT,24569052.0,8.2
VPS,24460792.0,10.1
CCR,24453617.0,13.0
SFI,24312034.0,26.2
TDG,24211190.0,3.22
BMV,24200000.0,6.9
NHT,24003698.0,10.5
VTD,24000000.0,7.6
VCC,24000000.0,10.2
NO1,24000000.0,7.54
MH3,24000000.0,28.5
NTC,23999980.0,162.7
TDT,23896534.0,6.5
TCK,23850000.0,3.0
HNI,23777800.0,26.5
TNV,23700000.0,10.2
CPA,23627990.0,5.0
RAL,23547419.0,94.0
NTT,23500000.0,10.0
BKC,23475456.0,24.4
ADP,23039850.0,25.2
SKV,23000000.0,28.5
MAC,22709408.0,16.6
HTE,22638165.0,3.8
TPC,22516956.0,12.0
NET,22398374.0,70.6
SCL,22392839.0,23.4
VDP,22083392.0,50.0
DBT,21967262.0,11.6
NNC,21920000.0,50.8
CEN,21712440.0,2.5
THP,21610785.0,9.3
PVB,21599998.0,29.1
VVS,21525000.0,45.9
NAP,21517200.0,11.9
VHF,21500000.0,19.5
DP3,21499933.0,53.0
MDC,21418346.0,9.9
ADG,21380521.0,9.43
XHC,21086500.0,20.0
HIO,21000000.0,7.8
PVH,21000000.0,0.6
TVT,21000000.0,16.5
SVN,21000000.0,3.2
HJS,20999900.0,29.8
EMS,20999440.0,22.5
VNC,20999112.0,31.6
DP1,20979000.0,37.9
VTX,20972321.0,8.1
DAN,20938000.0,39.8
ING,20809702.0,10.5
CAD,20799927.0,0.6
NSH,20693437.0,4.8
HC3,20685717.0,26.5
SP2,20623000.0,24.0
TT6,20545800.0,6.5
ANT,20503708.0,34.9
HSM,20500000.0,6.3
ABC,20389000.0,10.6
SMA,20352836.0,9.1
HDM,20096259.0,36.7
HTT,20000000.0,1.4
QNW,20000000.0,18.1
PTV,20000000.0,3.9
PXT,20000000.0,1.6
SDU,20000000.0,24.4
TNS,20000000.0,3.9
MNB,20000000.0,27.2
HGT,20000000.0,14.0
ECO,20000000.0,29.8
ABR,20000000.0,14.65
MGR,20000000.0,6.0
DP2,20000000.0,4.2
GMA,19999999.0,42.8
TCW,19991020.0,31.4
APC,19905025.0,7.7
MCP,19868149.0,28.2
TV4,19781493.0,16.3
PPT,19644923.0,13.8
ILA,19641431.0,7.3
BBT,19600000.0,15.5
NOS,19525932.0,0.8
HUG,19511389.0,29.1
STH,19500000.0,19.7
POT,19430006.0,19.2
VNP,19428913.0,12.7
VKC,19279000.0,1.1
TNC,19250000.0,29.5
KTL,19200000.0,20.0
PCG,18870000.0,2.0
BBC,18752687.0,87.0
CIA,18661243.0,9.7
VTG,18644500.0,7.5
QPH,18583100.0,52.5
FOC,18419884.0,64.6
CDP,18208800.0,9.8
AGM,18200000.0,3.5
CMV,18155868.0,8.2
BGW,18149446.0,16.2
C21,18138647.0,17.3
CCA,18110619.0,15.0
PHH,18100000.0,5.3
DTA,18059832.0,4.8
BSH,18000000.0,16.6
TMG,18000000.0,67.0
