time,index,Sản xuất Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Hóa chất,Lâm nghiệp và Giấy,Kim loại,Khai khoáng,Xây dựng và Vật liệu,Hàng công nghiệp,Điện tử & Thiết bị điện,Công nghiệp nặng,Vận tải,Tư vấn & Hỗ trợ Kinh doanh,Ô tô và phụ tùng,Bia và đồ uống,Sản xuất thực phẩm,Hàng gia dụng,Hàng hóa giải trí,Hàng cá nhân,Thuốc lá,Thiết bị và Dịch vụ Y tế,Dược phẩm,Phân phối thực phẩm & dược phẩm,Bán lẻ,Truyền thông,Du lịch & Giải trí,Viễn thông cố định,Viễn thông di động,Sản xuất & Phân phối Điện,Nước & Khí đốt,Ngân hàng,Bảo hiểm phi nhân thọ,Bảo hiểm nhân thọ,Bất động sản,Dịch vụ tài chính,Phần mềm & Dịch vụ Máy tính,Thiết bị và Phần cứng
2025-08-01,31612.68,60.81999999999999,290.556,1389.1269999999997,465.42999999999995,475.3310000000001,995.989,4632.043000000001,440.33299999999997,667.206,429.8529999999999,2811.6389999999983,744.413,288.623,1332.6290000000001,3035.795999999999,213.061,44.6,1089.5780000000002,75.051,184.514,1539.4000000000005,188.20000000000002,563.8359999999999,1026.87,731.5559999999999,141.124,127.93,1411.8480000000004,1797.062,607.3939999999999,250.26700000000002,50.0,2286.39,787.717,285.6,150.89399999999998
2025-08-04,31705.918999999994,61.398,288.613,1378.24,438.907,476.4830000000002,994.0290000000001,4671.878999999997,442.31499999999994,665.8100000000001,433.85799999999995,2816.602999999999,742.906,290.159,1334.197,3052.7700000000004,212.336,44.6,1086.1420000000003,73.472,178.44,1542.7880000000002,174.6,570.9609999999999,1033.733,740.4649999999999,141.495,129.027,1415.027,1810.8059999999998,622.3349999999999,250.01000000000002,50.0,2296.547,801.8910000000001,291.974,151.103
2025-08-05,31581.497000000003,61.238,285.888,1378.2910000000002,423.825,481.1190000000001,990.8279999999999,4643.669999999997,435.88200000000006,667.5420000000001,431.4509999999999,2810.332,741.196,292.811,1321.523,3054.054999999999,212.531,43.8,1078.0330000000001,73.67099999999999,178.209,1536.6029999999998,191.7,566.0459999999999,1015.161,737.1410000000001,141.206,129.42700000000002,1411.382,1814.376,628.206,250.57000000000002,49.8,2272.2760000000003,798.5820000000001,284.516,148.61
2025-08-06,31719.257,63.25000000000001,287.24800000000005,1398.686,423.21799999999996,483.23400000000004,990.5169999999998,4673.451999999997,438.869,670.121,432.5229999999999,2809.232,744.258,293.226,1326.297,3068.649000000001,213.553,44.9,1092.4800000000005,73.871,178.824,1535.1709999999998,174.8,576.1759999999998,1012.4069999999999,739.739,140.706,135.193,1408.772,1814.844,640.3810000000001,254.08700000000002,51.2,2283.388,812.4060000000001,283.485,150.094
2025-08-07,31815.951,62.764,287.26300000000003,1395.2540000000001,423.861,487.574,1001.3629999999999,4691.381999999998,443.797,666.657,431.83299999999997,2803.776,744.8330000000001,293.82800000000003,1328.13,3071.9489999999996,214.103,44.9,1095.0520000000001,73.97099999999999,178.808,1552.5549999999996,172.1,574.3609999999999,1020.104,737.479,145.032,134.29899999999998,1407.6029999999998,1818.3359999999998,647.246,254.559,52.0,2308.32,820.245,280.22400000000005,150.39
2025-08-08,32739.398999999998,64.63000000000001,298.581,1407.5759999999998,412.7579999999999,488.36199999999997,997.4919999999998,4705.445,449.50899999999996,678.9219999999999,433.441,2803.433,744.2,294.80999999999995,1331.3660000000002,3060.9860000000003,213.99499999999998,44.4,1100.0040000000004,73.678,189.88799999999998,1542.4379999999999,174.60000000000002,571.3489999999999,1019.151,731.5690000000001,141.82399999999998,139.351,1416.6540000000002,1797.5949999999998,647.1239999999999,259.067,52.0,2320.164,1701.7909999999997,281.979,149.267
2025-08-11,33001.596000000005,64.06500000000001,294.04200000000003,1409.8749999999998,411.8059999999999,488.55099999999993,1005.5600000000001,4720.088999999997,440.90100000000007,695.2909999999999,435.197,2817.676,743.378,296.31100000000004,1326.434,3065.553,214.89299999999997,43.60000000000001,1109.8390000000002,74.18599999999999,176.378,1537.713,183.5,576.0149999999999,1026.147,737.802,143.024,138.85399999999998,1413.7840000000003,1811.4489999999998,651.852,261.236,53.6,2349.668,1847.9969999999998,282.829,152.501
2025-08-12,33251.767,65.111,297.694,1419.39,410.82499999999993,489.497,1007.5520000000001,4748.050000000001,438.59499999999997,695.456,436.422,2842.8129999999996,744.8270000000002,295.78999999999996,1350.3519999999999,3071.1389999999997,216.32999999999998,44.25000000000001,1110.03,74.114,180.258,1540.1489999999997,181.20000000000002,576.8259999999999,1016.662,740.2669999999998,141.624,138.06,1413.5349999999996,1806.659,655.9090000000001,261.83299999999997,53.4,2351.891,1999.609,282.60999999999996,153.038
2025-08-13,33341.108,64.33200000000001,297.46500000000003,1411.3239999999998,399.277,492.66300000000007,1004.32,4771.570000000002,436.707,686.053,440.122,2849.0830000000005,748.047,297.094,1335.0179999999998,3079.598999999999,214.72000000000003,43.599999999999994,1108.2509999999997,74.014,180.157,1541.184,190.70000000000002,568.539,1022.734,746.43,141.124,139.846,1414.0480000000007,1817.8690000000001,659.1389999999999,268.506,57.1,2378.223,2023.6529999999998,282.901,155.696
2025-08-14,33332.407,64.583,300.29100000000005,1405.5829999999999,401.005,491.82599999999996,1000.432,4740.186000000001,439.86800000000005,677.989,438.619,2856.526,745.784,296.442,1336.1319999999998,3102.0559999999996,214.92000000000002,43.2,1107.585,73.57100000000001,179.91400000000002,1532.2480000000003,190.10000000000002,564.6089999999999,1022.33,761.569,140.124,138.05700000000002,1417.0809999999997,1800.079,682.936,272.442,60.9,2389.13,2006.4460000000001,282.95,154.89400000000003
2025-08-15,33186.154,66.045,295.312,1394.7430000000002,397.3159999999999,490.33,994.6500000000001,4720.0279999999975,435.26700000000005,678.775,440.471,2834.0839999999994,748.1750000000001,294.27700000000004,1323.714,3100.508,213.098,42.2,1095.3999999999999,73.371,179.86999999999998,1530.6710000000003,176.9,563.2450000000001,1018.3719999999998,767.8060000000002,136.124,134.575,1419.5899999999997,1792.701,677.6080000000001,271.818,61.8,2368.634,2017.755,276.887,154.03400000000002
2025-08-18,33222.15,67.495,294.29999999999995,1403.1970000000001,398.65700000000004,494.21299999999985,983.8380000000001,4766.628999999998,440.49500000000006,680.896,438.75899999999996,2838.960999999998,752.301,293.564,1319.838,3103.1650000000004,213.88,42.2,1093.292,72.878,180.713,1542.4409999999993,181.50000000000003,563.2090000000001,1030.4969999999998,761.4620000000001,135.024,131.99,1418.6860000000001,1790.828,677.251,276.78499999999997,62.8,2375.4030000000002,1963.8909999999998,275.091,156.02100000000002
2025-08-19,33250.629,68.259,299.789,1398.4869999999999,397.9319999999999,490.09499999999997,982.2850000000001,4806.4959999999965,439.7210000000001,678.9839999999999,440.09499999999997,2832.3809999999985,753.7839999999999,294.587,1319.5819999999999,3076.3580000000006,216.83300000000003,42.400000000000006,1096.6259999999997,72.778,180.499,1539.1769999999995,180.90000000000003,567.263,1030.3429999999998,767.7730000000001,134.524,132.683,1423.6230000000003,1793.155,691.1250000000001,277.05300000000005,61.2,2400.8060000000005,1930.6999999999998,273.878,158.45499999999998
2025-08-20,33065.361000000004,67.691,295.221,1387.3850000000002,406.05099999999993,482.003,959.418,4763.300000000001,445.49899999999997,685.4440000000001,439.40700000000004,2820.6680000000006,750.9830000000001,294.236,1322.4750000000001,3070.7129999999997,215.40800000000002,41.300000000000004,1093.7010000000002,72.95,179.794,1531.546,178.50000000000003,554.878,1022.8530000000001,762.6670000000001,134.024,128.209,1421.2289999999996,1785.8049999999998,701.3570000000001,271.71,59.4,2377.4230000000002,1915.1519999999998,269.78200000000004,157.17899999999997
